Page,URL,Title,Impact,Rule ID,Description,Help,Help URL,HTML Element
1,https://test-ufl.pantheonsite.io,Homepage | Urbana Free Library,serious,aria-hidden-focus,Ensure aria-hidden elements are not focusable nor contain focusable elements,ARIA hidden element must not be focusable or contain focusable elements,https://dequeuniversity.com/rules/axe/4.10/aria-hidden-focus?application=axeAPI,"<div tabindex=""-1"" class=""field__item slick-slide"" data-slick-index=""0"" aria-hidden=""true"" role=""tabpanel"" id=""slick-slide00"" aria-describedby=""slick-slide-control00"" style=""width: 1229px;"">"
1,https://test-ufl.pantheonsite.io,Homepage | Urbana Free Library,serious,aria-hidden-focus,Ensure aria-hidden elements are not focusable nor contain focusable elements,ARIA hidden element must not be focusable or contain focusable elements,https://dequeuniversity.com/rules/axe/4.10/aria-hidden-focus?application=axeAPI,"<article tabindex=""0"" class=""media media--type-homepage-feature media--view-mode-default slick-slide"" data-slick-index=""0"" aria-hidden=""true"" role=""tabpanel"" id=""slick-slide20"" aria-describedby=""slick-slide-control20"" style=""width: 1229px;"">"
1,https://test-ufl.pantheonsite.io,Homepage | Urbana Free Library,serious,aria-hidden-focus,Ensure aria-hidden elements are not focusable nor contain focusable elements,ARIA hidden element must not be focusable or contain focusable elements,https://dequeuniversity.com/rules/axe/4.10/aria-hidden-focus?application=axeAPI,"<div tabindex=""-1"" class=""field__item slick-slide"" data-slick-index=""2"" aria-hidden=""true"" role=""tabpanel"" id=""slick-slide02"" aria-describedby=""slick-slide-control02"" style=""width: 1229px;"">"
1,https://test-ufl.pantheonsite.io,Homepage | Urbana Free Library,serious,color-contrast,Ensure the contrast between foreground and background colors meets WCAG 2 AA minimum contrast ratio thresholds,Elements must meet minimum color contrast ratio thresholds,https://dequeuniversity.com/rules/axe/4.10/color-contrast?application=axeAPI,"<a href=""https://tufl.m-pages.com/heDaPP/the-urbana-free-library-newsletter-sign-up"" target=""_blank"" class=""button"">Sign up now</a>"
1,https://test-ufl.pantheonsite.io,Homepage | Urbana Free Library,serious,frame-title,Ensure <iframe> and <frame> elements have an accessible name,Frames must have an accessible name,https://dequeuniversity.com/rules/axe/4.10/frame-title?application=axeAPI,"<iframe src=""https://urbanafreelibrary.libnet.info/widget?id=15863&amp;style=1168&amp;location=1672"" data-widgetid=""15863"" data-client=""urbanafreelibrary"" scrolling=""no"" style=""overflow: hidden;"" marginheight=""0"" class=""widgetframepreview"" onload=""resizeIframe(this)"" width=""100%"" height=""350"" frameborder=""0"">"
1,https://test-ufl.pantheonsite.io,Homepage | Urbana Free Library,moderate,landmark-unique,Ensure landmarks are unique,Landmarks should have a unique role or role/label/title (i.e. accessible name) combination,https://dequeuniversity.com/rules/axe/4.10/landmark-unique?application=axeAPI,"<div role=""navigation"" aria-label=""Mobile navigation"" class=""region region-mobile-navigation"" id=""region-mobile-navigation"">"
1,https://test-ufl.pantheonsite.io,Homepage | Urbana Free Library,serious,link-name,Ensure links have discernible text,Links must have discernible text,https://dequeuniversity.com/rules/axe/4.10/link-name?application=axeAPI,"<a href=""https://urbanafreelibrary.libnet.info/event/16868704"" tabindex=""0"">"
1,https://test-ufl.pantheonsite.io,Homepage | Urbana Free Library,serious,link-name,Ensure links have discernible text,Links must have discernible text,https://dequeuniversity.com/rules/axe/4.10/link-name?application=axeAPI,"<a href=""https://www.facebook.com/UrbanaFreeLibrary"" target=""_blank"" alt=""facebook""><img alt="""" class=""adaptive-image"" src=""/themes/custom/ufl/assets/images/facebook.png"" typeof=""foaf:Image""></a>"
1,https://test-ufl.pantheonsite.io,Homepage | Urbana Free Library,serious,link-name,Ensure links have discernible text,Links must have discernible text,https://dequeuniversity.com/rules/axe/4.10/link-name?application=axeAPI,"<a href=""https://www.instagram.com/urbanafreelibrary/"" target=""_blank"" alt=""instagram""><img alt="""" class=""adaptive-image"" src=""/themes/custom/ufl/assets/images/instagram.png"" typeof=""foaf:Image""></a>"
1,https://test-ufl.pantheonsite.io,Homepage | Urbana Free Library,serious,link-name,Ensure links have discernible text,Links must have discernible text,https://dequeuniversity.com/rules/axe/4.10/link-name?application=axeAPI,"<a href=""https://twitter.com/search?f=tweets&amp;vertical=default&amp;q=urbanafree"" target=""_blank"" alt=""twitter""><img alt="""" class=""adaptive-image"" src=""/themes/custom/ufl/assets/images/twitter.png"" typeof=""foaf:Image""></a>"
1,https://test-ufl.pantheonsite.io,Homepage | Urbana Free Library,serious,link-name,Ensure links have discernible text,Links must have discernible text,https://dequeuniversity.com/rules/axe/4.10/link-name?application=axeAPI,"<a href=""http://www.flickr.com/photos/98945443@N05"" target=""_blank"" alt=""flickr""><img alt="""" class=""adaptive-image"" src=""/themes/custom/ufl/assets/images/flickr.png"" typeof=""foaf:Image""></a>"
10,https://test-ufl.pantheonsite.io/ebooks-more/ebooks,eBooks | Urbana Free Library,moderate,landmark-unique,Ensure landmarks are unique,Landmarks should have a unique role or role/label/title (i.e. accessible name) combination,https://dequeuniversity.com/rules/axe/4.10/landmark-unique?application=axeAPI,"<div role=""navigation"" aria-label=""Mobile navigation"" class=""region region-mobile-navigation"" id=""region-mobile-navigation"">"
10,https://test-ufl.pantheonsite.io/ebooks-more/ebooks,eBooks | Urbana Free Library,serious,link-name,Ensure links have discernible text,Links must have discernible text,https://dequeuniversity.com/rules/axe/4.10/link-name?application=axeAPI,"<a href=""https://www.facebook.com/UrbanaFreeLibrary"" target=""_blank"" alt=""facebook""><img alt="""" class=""adaptive-image"" src=""/themes/custom/ufl/assets/images/facebook.png"" typeof=""foaf:Image""></a>"
10,https://test-ufl.pantheonsite.io/ebooks-more/ebooks,eBooks | Urbana Free Library,serious,link-name,Ensure links have discernible text,Links must have discernible text,https://dequeuniversity.com/rules/axe/4.10/link-name?application=axeAPI,"<a href=""https://www.instagram.com/urbanafreelibrary/"" target=""_blank"" alt=""instagram""><img alt="""" class=""adaptive-image"" src=""/themes/custom/ufl/assets/images/instagram.png"" typeof=""foaf:Image""></a>"
10,https://test-ufl.pantheonsite.io/ebooks-more/ebooks,eBooks | Urbana Free Library,serious,link-name,Ensure links have discernible text,Links must have discernible text,https://dequeuniversity.com/rules/axe/4.10/link-name?application=axeAPI,"<a href=""https://twitter.com/search?f=tweets&amp;vertical=default&amp;q=urbanafree"" target=""_blank"" alt=""twitter""><img alt="""" class=""adaptive-image"" src=""/themes/custom/ufl/assets/images/twitter.png"" typeof=""foaf:Image""></a>"
10,https://test-ufl.pantheonsite.io/ebooks-more/ebooks,eBooks | Urbana Free Library,serious,link-name,Ensure links have discernible text,Links must have discernible text,https://dequeuniversity.com/rules/axe/4.10/link-name?application=axeAPI,"<a href=""http://www.flickr.com/photos/98945443@N05"" target=""_blank"" alt=""flickr""><img alt="""" class=""adaptive-image"" src=""/themes/custom/ufl/assets/images/flickr.png"" typeof=""foaf:Image""></a>"
100,https://test-ufl.pantheonsite.io/local-history/about/making-donation,Making a Donation | Urbana Free Library,serious,frame-title,Ensure <iframe> and <frame> elements have an accessible name,Frames must have an accessible name,https://dequeuniversity.com/rules/axe/4.10/frame-title?application=axeAPI,"<iframe src=""https://urbanafreelibrary.libnet.info/widget?id=15863&amp;style=1168&amp;location=1672"" data-widgetid=""15863"" data-client=""urbanafreelibrary"" scrolling=""no"" style=""overflow: hidden;"" marginheight=""0"" class=""widgetframepreview"" onload=""resizeIframe(this)"" width=""100%"" height=""600"" frameborder=""0"">"
100,https://test-ufl.pantheonsite.io/local-history/about/making-donation,Making a Donation | Urbana Free Library,moderate,landmark-unique,Ensure landmarks are unique,Landmarks should have a unique role or role/label/title (i.e. accessible name) combination,https://dequeuniversity.com/rules/axe/4.10/landmark-unique?application=axeAPI,"<div role=""navigation"" aria-label=""Mobile navigation"" class=""region region-mobile-navigation"" id=""region-mobile-navigation"">"
100,https://test-ufl.pantheonsite.io/local-history/about/making-donation,Making a Donation | Urbana Free Library,serious,link-name,Ensure links have discernible text,Links must have discernible text,https://dequeuniversity.com/rules/axe/4.10/link-name?application=axeAPI,"<a href=""https://www.facebook.com/UrbanaFreeLibrary"" target=""_blank"" alt=""facebook""><img alt="""" class=""adaptive-image"" src=""/themes/custom/ufl/assets/images/facebook.png"" typeof=""foaf:Image""></a>"
100,https://test-ufl.pantheonsite.io/local-history/about/making-donation,Making a Donation | Urbana Free Library,serious,link-name,Ensure links have discernible text,Links must have discernible text,https://dequeuniversity.com/rules/axe/4.10/link-name?application=axeAPI,"<a href=""https://www.instagram.com/urbanafreelibrary/"" target=""_blank"" alt=""instagram""><img alt="""" class=""adaptive-image"" src=""/themes/custom/ufl/assets/images/instagram.png"" typeof=""foaf:Image""></a>"
100,https://test-ufl.pantheonsite.io/local-history/about/making-donation,Making a Donation | Urbana Free Library,serious,link-name,Ensure links have discernible text,Links must have discernible text,https://dequeuniversity.com/rules/axe/4.10/link-name?application=axeAPI,"<a href=""https://twitter.com/search?f=tweets&amp;vertical=default&amp;q=urbanafree"" target=""_blank"" alt=""twitter""><img alt="""" class=""adaptive-image"" src=""/themes/custom/ufl/assets/images/twitter.png"" typeof=""foaf:Image""></a>"
100,https://test-ufl.pantheonsite.io/local-history/about/making-donation,Making a Donation | Urbana Free Library,serious,link-name,Ensure links have discernible text,Links must have discernible text,https://dequeuniversity.com/rules/axe/4.10/link-name?application=axeAPI,"<a href=""http://www.flickr.com/photos/98945443@N05"" target=""_blank"" alt=""flickr""><img alt="""" class=""adaptive-image"" src=""/themes/custom/ufl/assets/images/flickr.png"" typeof=""foaf:Image""></a>"
101,https://test-ufl.pantheonsite.io/local-history/about/how-to-order,How to Order Copies | Urbana Free Library,serious,color-contrast,Ensure the contrast between foreground and background colors meets WCAG 2 AA minimum contrast ratio thresholds,Elements must meet minimum color contrast ratio thresholds,https://dequeuniversity.com/rules/axe/4.10/color-contrast?application=axeAPI,"<span style=""color:#00ACC8;font-family:&quot;Arial&quot;,sans-serif;font-size:12.0pt;"">Local History Online</span>"
101,https://test-ufl.pantheonsite.io/local-history/about/how-to-order,How to Order Copies | Urbana Free Library,serious,frame-title,Ensure <iframe> and <frame> elements have an accessible name,Frames must have an accessible name,https://dequeuniversity.com/rules/axe/4.10/frame-title?application=axeAPI,"<iframe src=""https://urbanafreelibrary.libnet.info/widget?id=15863&amp;style=1168&amp;location=1672"" data-widgetid=""15863"" data-client=""urbanafreelibrary"" scrolling=""no"" style=""overflow: hidden;"" marginheight=""0"" class=""widgetframepreview"" onload=""resizeIframe(this)"" width=""100%"" height=""600"" frameborder=""0"">"
101,https://test-ufl.pantheonsite.io/local-history/about/how-to-order,How to Order Copies | Urbana Free Library,moderate,landmark-unique,Ensure landmarks are unique,Landmarks should have a unique role or role/label/title (i.e. accessible name) combination,https://dequeuniversity.com/rules/axe/4.10/landmark-unique?application=axeAPI,"<div role=""navigation"" aria-label=""Mobile navigation"" class=""region region-mobile-navigation"" id=""region-mobile-navigation"">"
101,https://test-ufl.pantheonsite.io/local-history/about/how-to-order,How to Order Copies | Urbana Free Library,serious,link-name,Ensure links have discernible text,Links must have discernible text,https://dequeuniversity.com/rules/axe/4.10/link-name?application=axeAPI,"<a href=""https://www.facebook.com/UrbanaFreeLibrary"" target=""_blank"" alt=""facebook""><img alt="""" class=""adaptive-image"" src=""/themes/custom/ufl/assets/images/facebook.png"" typeof=""foaf:Image""></a>"
101,https://test-ufl.pantheonsite.io/local-history/about/how-to-order,How to Order Copies | Urbana Free Library,serious,link-name,Ensure links have discernible text,Links must have discernible text,https://dequeuniversity.com/rules/axe/4.10/link-name?application=axeAPI,"<a href=""https://www.instagram.com/urbanafreelibrary/"" target=""_blank"" alt=""instagram""><img alt="""" class=""adaptive-image"" src=""/themes/custom/ufl/assets/images/instagram.png"" typeof=""foaf:Image""></a>"
101,https://test-ufl.pantheonsite.io/local-history/about/how-to-order,How to Order Copies | Urbana Free Library,serious,link-name,Ensure links have discernible text,Links must have discernible text,https://dequeuniversity.com/rules/axe/4.10/link-name?application=axeAPI,"<a href=""https://twitter.com/search?f=tweets&amp;vertical=default&amp;q=urbanafree"" target=""_blank"" alt=""twitter""><img alt="""" class=""adaptive-image"" src=""/themes/custom/ufl/assets/images/twitter.png"" typeof=""foaf:Image""></a>"
101,https://test-ufl.pantheonsite.io/local-history/about/how-to-order,How to Order Copies | Urbana Free Library,serious,link-name,Ensure links have discernible text,Links must have discernible text,https://dequeuniversity.com/rules/axe/4.10/link-name?application=axeAPI,"<a href=""http://www.flickr.com/photos/98945443@N05"" target=""_blank"" alt=""flickr""><img alt="""" class=""adaptive-image"" src=""/themes/custom/ufl/assets/images/flickr.png"" typeof=""foaf:Image""></a>"
